14 07 06  05 11 01  87.3477  117.4169  24.4732
14 07 06  05 12 02  87.4468  117.5666  24.4694
14 07 06  05 13 01  87.4220  117.4668  24.4656
14 07 06  05 14 01  87.4716  117.4419  24.4656
14 07 06  05 15 01  87.4964  117.4668  24.4694
14 07 06  05 16 01  87.3725  117.4169  24.4694
14 07 06  05 17 01  87.5459  117.4668  24.4694
14 07 06  05 18 01  87.4220  117.4918  24.4617
14 07 06  05 19 01  87.4964  117.5417  24.4656
14 07 06  05 20 01  87.5211  117.4169  24.4656
14 07 06  05 21 01  87.3973  117.4668  24.4732
14 07 06  05 22 01  87.4964  117.5167  24.4656
14 07 06  05 23 01  87.3229  117.6913  24.4656
14 07 06  05 24 01  87.4716  117.3671  24.4656
14 07 06  05 25 01  87.5707  117.2922  24.4656
14 07 06  05 26 01  87.3725  117.3920  24.4732
14 07 06  05 27 01  87.5211  117.7162  24.4694
14 07 06  05 28 01  87.4716  117.4169  24.4617
14 07 06  05 29 01  87.5211  117.4918  24.4656
14 07 06  05 30 01  87.4220  117.5915  24.4656
14 07 06  05 31 01  87.5211  117.4419  24.4656
14 07 06  05 32 01  87.5211  117.3920  24.4656
14 07 06  05 33 01  87.4964  117.4419  24.4617
14 07 06  05 34 01  87.6450  117.4918  24.4656
14 07 06  05 35 01  87.3725  117.6165  24.4656
14 07 06  05 36 01  87.5954  117.5666  24.4579
14 07 06  05 37 01  87.5211  117.5666  24.4656
14 07 06  05 38 01  87.5707  117.5666  24.4656
14 07 06  05 39 01  87.6698  117.3421  24.4694
14 07 06  05 40 01  87.5954  117.5167  24.4694
14 07 06  05 41 02  87.4964  117.2922  24.4732
14 07 06  05 42 01  87.5954  117.5417  24.4656
14 07 06  05 43 01  87.6202  117.6414  24.4656
14 07 06  05 44 01  87.3973  117.3671  24.4694
14 07 06  05 45 01  87.5211  117.5167  24.4694
14 07 06  05 46 01  87.4220  117.5666  24.4694
14 07 06  05 47 01  87.5954  117.4918  24.4656
14 07 06  05 48 01  87.7193  117.5915  24.4656
14 07 06  05 49 01  87.4716  117.6165  24.4694
14 07 06  05 50 02  87.5707  117.5666  24.4694
